RNA20_SKM_Hyb1_total	RNA21_SKM_Hyb2_total	RNA33_SKM_Hyb2_total	RNA7_SKM_Hyb1_total	RNA8_SKM_Hyb2_total	gene	mean	bins
0	0.0416804415975153	0.0446285908222227	0.0259292975281144	0	FAM217A	0.0224476659895705	1
0.0351431825510641	0	0.0504406114884646	0	0.0346567871167536	GIMAP5	0.0240481162312565	1
0.024895707138142	0	0.0714650524129945	0.0415213335832264	0	GIMAP6	0.0275764186268726	1
0.0890465283652192	0	0	0	0.08781408947682	C4orf51	0.0353721235684078	1
0.0220500004598347	0.118229808533287	0	0.0735504655098075	0.130468918815266	MPEG1	0.068859838663639	1
0.0706431486813269	0	0.152089965604812	0.0589097093223948	0.0696654197879921	RPL3L	0.0702616486793052	1
0.128011697807556	0	0.183733738562449	0.053374828617334	0	COL4A2-AS2	0.0730240529974678	1
0.0756876622649419	0.0461169739811468	0.0197515715561554	0.189349070640925	0.0746401153244846	ABCA6	0.0811090787535307	1
0.149481206124827	0	0.0858194721780106	0.13711851783204	0.0589649310343048	RORC	0.0862768254338365	1
0	0.0445834153380046	0.0954737965490091	0.110940920663137	0.196794702398719	NCF2	0.0895585669897739	1
0.0512720537008157	0.0229096181622834	0.196240526380384	0.114016125130642	0.0842707139365273	TAL1	0.0937418074621305	1
0.148702869451145	0.0442960731088926	0.0237146158490542	0.261786515257134	0.0162938625996678	CNGB3	0.0989587872531787	1
0.0800467559831962	0.107300594515214	0.114890201352526	0.133502858102847	0.0789388774754652	SRGN	0.10293585748585	1
0.219204147523011	0.0864227819490505	0.0185071310451388	0.193548220357443	0.127158985953198	CC2D2B	0.128968253365568	1
0.150218815777255	0.0755116558548662	0.188656442814604	0.156585368457175	0.111104796323409	MRC1	0.136415415845462	1
0	0.0757672315201714	0.202816035749962	0.0471346035135378	0.362312730066532	SLC28A1	0.137606120170041	1
0.0379275460508273	0.0508408890500352	0.353840349542206	0.158139943849683	0.112207841799853	USHBP1	0.142591314058521	1
0.407602100550418	0.0116251066967876	0.0248947520779888	0.151870940289079	0.128285338584048	OAS2	0.144855647639664	1
0.279131524445701	0.0623614247970465	0.267089541635194	0.31035907986851	0.0917560782116916	CLEC14A	0.202139529791629	1
0.284606975885162	0.0817517676492166	0.116712333093509	0.474670637803904	0.140333951839209	MYO1H	0.2196151332542	1
0.325187560429589	0.124544419194101	0.200030579464984	0.309915075462403	0.18324962114953	GIMAP2	0.228585451140121	1
0.187052423255664	0.117011490613813	0.411660474405856	0.187180850588899	0.307439240551847	MSR1	0.242068895883216	1
0.022358710587916	0.0599425400619763	1.12319213371835	0	0.0440985145226721	TM4SF18	0.249918379778183	1
0.285931617351188	0.114985168938963	0.451433849576244	0.333815922564765	0.0845922634760562	SLC26A5	0.254151764381443	1
0.215906254502548	0.115766687522177	0.154943899652065	0.288072656580079	0.54294096944478	ABCA9	0.26352609354033	1
0.0780897010272944	0.183185123181384	0.504365681528743	0.0325597150924178	0.51981013526379	CSF2RB	0.263602071218726	1
0.280400111892054	0.138478073727482	0.338909559269259	0.159987026060077	0.45116301022828	ADGRF5	0.27378755623543	1
0.179525200594245	0.306280370137412	0.304519664198075	0.170121647586661	0.418459366908807	ESR2	0.27578124988504	1
0.286942274025184	0.0961596638623088	0.360364368675319	0.269193078939706	0.459827680610948	ACMSD	0.294497413222693	1
0.0792743913300219	0.12144601118346	0.178799712335069	0.0472195356635564	1.04980814989982	JAML	0.295309560082385	1
0.277738851123449	0.248201137609913	0.199317712111224	0.579019879940003	0.182596557638662	HEATR4	0.29737482768465	1
0.205088214803263	0.10996616717896	1.05969884245408	0.13681935015677	0	ASB10	0.302314514918615	1
0.0451282745668081	0.282301965619243	0.151134901995393	0.150530863166613	0.890073630830523	GCNT3	0.303833927235716	1
0.2217169889765	0.260055125085379	0.437563335848154	0.138668260294024	0.464627720082475	LYVE1	0.304526286057306	1
0.0618716430813273	0.0829373283740968	1.28765318397418	0.051595102671059	0.122030630533682	GPR4	0.321217577726869	1
0.252197204600388	0.307330721405073	0.361975788539953	0.49709313204169	0.339145495014031	SCIMP	0.351548468320227	1
0.223003621535459	0.20327277721136	0.345680535321183	0.200841059170472	0.818091849789454	IKZF1	0.358177968605586	1
0.0478237123375306	0.576957983173853	0.480485824900426	0.0797609122784314	0.683846294241923	RGS1	0.373774945386433	1
0.444555378908807	0.218502138542009	0.382839177187166	0.519004037805668	0.423789139449588	ZNF556	0.397737974378648	1
0.0573783143076627	0.0922969656202252	1.54826354745273	0.0382784729205241	0.271604044446152	UGT3A1	0.401564268949459	1
0.339431714395644	0.606665846806111	0.24359124572478	0.471756615305356	0.390522820681468	TNFRSF4	0.410393648582672	1
0.0304142685081329	0.489234430939802	1.13498462416379	0.17753837779865	0.269939907895339	KBTBD13	0.420422321861143	1
0.191263551109064	0.34184508776182	0.594789880758609	0.318991449563805	0.691593424583804	LRRC69	0.42769667875542	1
0.170309269285926	0.456590292045508	0.977771853468698	0.236703056980135	0.391888285089445	GJA4	0.446652551373942	1
0.410670469268804	0.707776821273796	0.336817524952782	0.293537449523333	0.520697094241957	CLCN1	0.453899871852134	1
0.166145938655287	0.296952412791394	0.238467382113742	0.36946669314648	1.20154036698585	MYBPHL	0.454514558738551	1
0.621355564084033	0.112790027627746	0.668868447499416	0.599113035430845	0.293612134664241	MAPT	0.459147841861256	1
0.66842053186765	0.375742077429216	0.46421439258308	0.251728828724691	0.616642275949888	C12orf60	0.475349621310905	1
0	0.541018675746902	0.182932457539499	0.0354280371371925	1.63396246908766	SELE	0.478668327902251	1
