Peak.Humreffed	Peak.Chpreffed	ATAC11_SKM_Hyb1_Human_humreffed_all_peaks.txt	ATAC11_SKM_Hyb1_Chimp_humreffed_all_peaks.txt	Sum Human	Sum Chimp	Binomial p-value
peak_CM_HP_MN_PP_SKM_195300_promoter_DIS3L2	peak_CM_HP_MN_PP_SKM_195300_promoter_DIS3L2	36	23	36	23	0.11747735024505848
peak_CM_HP_MN_PP_SKM_138858_promoter_FZD2	peak_CM_HP_MN_PP_SKM_138858_promoter_FZD2	52	63	52	63	0.3511253697554325
peak_CM_HP_MN_PP_SKM_187225_promoter_FIGN	peak_CM_HP_MN_PP_SKM_187225_promoter_FIGN	43	29	43	29	0.12491820036864004
peak_CM_HP_MN_PP_SKM_128025_promoter_ATP6V0D1	peak_CM_HP_MN_PP_SKM_128025_promoter_ATP6V0D1	43	29	43	29	0.12491820036864004
peak_CM_HP_MN_PP_SKM_353420_enhancer_C9orf106_92622.0_C9orf50_207114.0	peak_CM_HP_MN_PP_SKM_353420_enhancer_C9orf106_95462.0_C9orf50_207255.0	39	53	39	53	0.1749838984629618
peak_CM_HP_MN_PP_SKM_150808_promoter_ZBTB7C	peak_CM_HP_MN_PP_SKM_150808_promoter_ZBTB7C	45	66	45	66	0.05716364524660199
peak_CM_HP_MN_PP_SKM_345082_promoter_PTAR1	peak_CM_HP_MN_PP_SKM_345082_promoter_PTAR1	28	40	28	40	0.1818100545355934
peak_CM_HP_MN_PP_SKM_160336_enhancer_ZNF682_12902.5_ZNF90_25619.5	peak_CM_HP_MN_PP_SKM_160336_enhancer_ZNF682_12911.0_ZNF90_26834.5	39	52	39	52	0.2081744223811758
peak_CM_HP_MN_PP_SKM_339122_promoter_AGO2	peak_CM_HP_MN_PP_SKM_339122_promoter_AGO2	29	18	29	18	0.14386508844054896
peak_CM_HP_MN_PP_SKM_191523_promoter_ALS2	peak_CM_HP_MN_PP_SKM_191523_promoter_ALS2	42	60	42	60	0.09183767826908278
peak_CM_HP_MN_PP_SKM_163599_promoter_ERF	peak_CM_HP_MN_PP_SKM_163599_promoter_ERF	44	26	44	26	0.04139142867391546
peak_CM_HP_MN_PP_SKM_52201_promoter_PGAP2	peak_CM_HP_MN_PP_SKM_52201_promoter_PGAP2	20	31	20	31	0.16077960181198847
peak_CM_HP_MN_PP_SKM_287364_promoter_MED20_BYSL	peak_CM_HP_MN_PP_SKM_287364_promoter_MED20_BYSL	35	23	35	23	0.14800580076020603
peak_CM_HP_MN_PP_SKM_135629_promoter_ALDH3A2	peak_CM_HP_MN_PP_SKM_135629_promoter_ALDH3A2	51	67	51	67	0.16705111417380247
peak_CM_HP_MN_PP_SKM_142947_enhancer_CDC42EP4_31487.5_CPSF4L_80623.5	peak_CM_HP_MN_PP_SKM_142947_enhancer_CDC42EP4_30703.5_CPSF4L_78711.5	35	46	35	46	0.2664123096713203
peak_CM_HP_MN_PP_SKM_77043_promoter_BCDIN3D	peak_CM_HP_MN_PP_SKM_77043_promoter_BCDIN3D	40	54	40	54	0.17966501480803004
peak_CM_HP_MN_PP_SKM_76835_promoter_RHEBL1	peak_CM_HP_MN_PP_SKM_76835_promoter_RHEBL1	24	33	24	33	0.2892437471090205
peak_MN_SKM_16186_enhancer_DPYD_280943.0_SNX7_459778.0	peak_MN_SKM_16186_enhancer_DPYD_280954.0_SNX7_456677.0	17	29	17	29	0.10380535550410741
peak_CM_HP_MN_PP_SKM_294650_enhancer_MARCKS_2125.5_HDAC2_115845.5	peak_CM_HP_MN_PP_SKM_294650_enhancer_MARCKS_2128.0_HDAC2_115835.0	18	28	18	28	0.18392482137699062
peak_CM_HP_MN_PP_SKM_179375_promoter_ARID5A	peak_CM_HP_MN_PP_SKM_179375_promoter_ARID5A	73	52	73	52	0.07321432008545252
peak_PP_SKM_137768_enhancer_THRA_9117.5_MED24_17642.5	peak_PP_SKM_137768_enhancer_THRA_9100.0_MED24_17633.0	18	26	18	26	0.2912152365458951
peak_CM_HP_MN_PP_SKM_67990_promoter_RPS25_TRAPPC4	peak_CM_HP_MN_PP_SKM_67990_promoter_RPS25_TRAPPC4	30	39	30	39	0.3355576182340152
peak_CM_HP_MN_PP_SKM_351643_promoter_TTLL11	peak_CM_HP_MN_PP_SKM_351643_promoter_TTLL11	19	33	19	33	0.07039422106706228
peak_CM_HP_MN_PP_SKM_18475_promoter_TRIM45	peak_CM_HP_MN_PP_SKM_18475_promoter_TRIM45	61	74	61	74	0.30168250274562963
peak_CM_SKM_51959_enhancer_TSPAN32_4593.0_C11orf21_4766.0	peak_CM_SKM_51959_enhancer_TSPAN32_4789.0_C11orf21_4962.0	15	24	15	24	0.19959086691960698
peak_CM_HP_MN_PP_SKM_37321_promoter_KIF5B	peak_CM_HP_MN_PP_SKM_37321_promoter_KIF5B	42	55	42	55	0.22287765458337647
peak_CM_HP_MN_PP_SKM_20150_promoter_C1orf43_UBAP2L	peak_CM_HP_MN_PP_SKM_20150_promoter_C1orf43_UBAP2L	73	51	73	51	0.0588758732807349
peak_CM_HP_MN_PP_SKM_217468_promoter_RPL3	peak_CM_HP_MN_PP_SKM_217468_promoter_RPL3	74	96	74	96	0.10698657283154892
peak_CM_HP_MN_PP_SKM_121699_promoter_ATP6V0C	peak_CM_HP_MN_PP_SKM_121699_promoter_ATP6V0C	54	37	54	37	0.09294694311794119
peak_CM_SKM_138935_promoter_GFAP	peak_CM_SKM_138935_promoter_GFAP	43	26	43	26	0.05328936381651365
peak_CM_HP_MN_PP_SKM_157017_promoter_NDUFA7_RPS28	peak_CM_HP_MN_PP_SKM_157017_promoter_NDUFA7_RPS28	20	29	20	29	0.2528697301676033
peak_CM_HP_MN_PP_SKM_108969_promoter_ATG2B_GSKIP	peak_CM_HP_MN_PP_SKM_108969_promoter_ATG2B_GSKIP	26	38	26	38	0.16864291143970336
peak_CM_MN_PP_SKM_178633_enhancer_ATOH8_12054.0_GNLY_47560.5	peak_CM_MN_PP_SKM_178633_enhancer_ATOH8_12029.0_GNLY_46917.0	27	16	27	16	0.12628947438543037
peak_CM_HP_MN_PP_SKM_276002_promoter_FAM53C	peak_CM_HP_MN_PP_SKM_276002_promoter_FAM53C	52	69	52	69	0.14548652043450516
peak_CM_HP_MN_PP_SKM_218111_promoter_TTLL1	peak_CM_HP_MN_PP_SKM_218111_promoter_TTLL1	35	50	35	50	0.12839640292640084
peak_CM_HP_MN_PP_SKM_121900_promoter_ZSCAN10	peak_CM_HP_MN_PP_SKM_121900_promoter_ZSCAN10	16	27	16	27	0.12628947438543037
peak_SKM_250459_enhancer_SULT1B1_28736.0_UGT2A1_78612.5	peak_SKM_250459_enhancer_SULT1B1_28778.5_UGT2A1_93623.0	14	27	14	27	0.05958388801809633
peak_CM_HP_MN_PP_SKM_193616_enhancer_CTDSP1_6949.0_VIL1_12359.5	peak_CM_HP_MN_PP_SKM_193616_enhancer_CTDSP1_6950.5_VIL1_12302.0	74	53	74	53	0.07553055923069625
peak_CM_HP_MN_PP_SKM_273217_promoter_TMED7-TICAM2_TMED7_TICAM2	peak_CM_HP_MN_PP_SKM_273217_promoter_TMED7-TICAM2_TMED7_TICAM2	35	51	35	51	0.10522535125694396
peak_CM_HP_MN_PP_SKM_178531_enhancer_SH2D6_2501.5_CAPG_7228.5	peak_CM_HP_MN_PP_SKM_178531_enhancer_SH2D6_2495.0_CAPG_7204.0	30	19	30	19	0.15240777196147803
peak_CM_HP_MN_PP_SKM_358328_promoter_GPRASP2	peak_CM_HP_MN_PP_SKM_358328_promoter_GPRASP2	30	19	30	19	0.15240777196147803
peak_CM_HP_MN_PP_SKM_252948_promoter_SNCA	peak_CM_HP_MN_PP_SKM_252948_promoter_SNCA	30	19	30	19	0.15240777196147803
peak_CM_HP_MN_PP_214648_enhancer_COMT_20903.5_TXNRD2_20915.5	peak_CM_HP_MN_PP_214648_enhancer_COMT_21012.0_TXNRD2_21024.0	20	28	20	28	0.31232680747326935
peak_CM_HP_MN_PP_SKM_113108_promoter_GATM	peak_CM_HP_MN_PP_SKM_113108_promoter_GATM	20	28	20	28	0.31232680747326935
peak_CM_HP_MN_PP_SKM_355805_promoter_NRARP	peak_CM_HP_MN_PP_SKM_355805_promoter_NRARP	20	28	20	28	0.31232680747326935
peak_CM_HP_MN_PP_SKM_112162_promoter_FSIP1	peak_CM_HP_MN_PP_SKM_112162_promoter_FSIP1	68	50	68	50	0.11721294197631478
peak_CM_HP_MN_PP_SKM_165026_promoter_NAPA	peak_CM_HP_MN_PP_SKM_165026_promoter_NAPA	100	76	100	76	0.08268027772126423
peak_CM_HP_MN_PP_SKM_4637_promoter_EIF4G3	peak_CM_HP_MN_PP_SKM_4637_promoter_EIF4G3	88	67	88	67	0.10787772038387618
peak_CM_HP_MN_PP_SKM_312584_promoter_DMTF1	peak_CM_HP_MN_PP_SKM_312584_promoter_DMTF1	71	83	71	83	0.3754568881731793
peak_CM_HP_MN_PP_SKM_20379_enhancer_EFNA3_6544.5_EFNA4_21673.0	peak_CM_HP_MN_PP_SKM_20379_enhancer_EFNA3_6558.0_EFNA4_21672.0	99	76	99	76	0.09602353131253603
peak_CM_HP_MN_PP_SKM_330184_promoter_GGH	peak_CM_HP_MN_PP_SKM_330184_promoter_GGH	41	26	41	26	0.08643723427347082
peak_CM_HP_MN_PP_SKM_166915_promoter_ISOC2	peak_CM_HP_MN_PP_SKM_166915_promoter_ISOC2	62	43	62	43	0.07848502733901798
peak_CM_HP_MN_PP_SKM_47434_promoter_DUSP5	peak_CM_HP_MN_PP_SKM_47434_promoter_DUSP5	60	78	60	78	0.1475918641688608
peak_CM_HP_MN_PP_SKM_246123_promoter_LAP3	peak_CM_HP_MN_PP_SKM_246123_promoter_LAP3	41	61	41	61	0.05940053690343337
peak_CM_HP_MN_PP_SKM_280776_promoter_CPEB4	peak_CM_HP_MN_PP_SKM_280776_promoter_CPEB4	48	68	48	68	0.07726226461070679
peak_CM_HP_MN_PP_SKM_75745_promoter_PDZRN4	peak_CM_HP_MN_PP_SKM_75745_promoter_PDZRN4	28	43	28	43	0.09592363141082376
peak_CM_HP_MN_PP_SKM_131449_promoter_BANP	peak_CM_HP_MN_PP_SKM_131449_promoter_BANP	84	99	84	99	0.30069693751806376
peak_CM_HP_MN_PP_SKM_272555_promoter_TMEM232_SLC25A46	peak_CM_HP_MN_PP_SKM_272555_promoter_TMEM232_SLC25A46	44	65	44	65	0.05490881777576019
peak_CM_HP_MN_PP_SKM_84528_promoter_CKAP4	peak_CM_HP_MN_PP_SKM_84528_promoter_CKAP4	75	55	75	55	0.095253411432518
peak_CM_HP_MN_PP_SKM_357403_enhancer_TSPYL2_11417.5_GPR173_44974.5	peak_CM_HP_MN_PP_SKM_357403_enhancer_TSPYL2_10962.0_GPR173_42270.0	28	39	28	39	0.22154872964481104
peak_CM_HP_MN_PP_SKM_190108_promoter_ORMDL1_PMS1	peak_CM_HP_MN_PP_SKM_190108_promoter_ORMDL1_PMS1	69	51	69	51	0.12032782773865777
peak_CM_HP_MN_PP_SKM_191649_promoter_BMPR2	peak_CM_HP_MN_PP_SKM_191649_promoter_BMPR2	100	77	100	77	0.0979297103970036
peak_CM_HP_MN_PP_SKM_32536_promoter_EXO1	peak_CM_HP_MN_PP_SKM_32536_promoter_EXO1	39	49	39	49	0.3373990368531198
peak_CM_HP_MN_PP_SKM_72066_enhancer_PTMS_2103.0_LAG3_8168.0	peak_CM_HP_MN_PP_SKM_72066_enhancer_PTMS_2096.5_LAG3_8167.5	26	35	26	35	0.30567741986311836
peak_SKM_277530_enhancer_SH3TC2_96887.5_ADRB2_139597.0	peak_SKM_277530_enhancer_SH3TC2_97114.0_ADRB2_133267.5	37	24	37	24	0.12373144253809215
peak_CM_HP_MN_PP_SKM_112180_promoter_GPR176	peak_CM_HP_MN_PP_SKM_112180_promoter_GPR176	52	37	52	37	0.137367971355652
peak_CM_HP_MN_PP_SKM_155222_promoter_SLC39A3	peak_CM_HP_MN_PP_SKM_155222_promoter_SLC39A3	32	41	32	41	0.34918183817058834
peak_CM_HP_MN_PP_SKM_133617_promoter_FGF11	peak_CM_HP_MN_PP_SKM_133617_promoter_FGF11	26	35	26	35	0.30567741986311836
peak_CM_HP_MN_PP_SKM_312698_promoter_ADAM22	peak_CM_HP_MN_PP_SKM_312698_promoter_ADAM22	42	55	42	55	0.22287765458337647
peak_MN_PP_SKM_68093_enhancer_USP2_2958.5_USP2_11917.5	peak_MN_PP_SKM_68093_enhancer_USP2_2957.0_USP2_11904.5	33	21	33	21	0.13367423536410522
peak_HP_SKM_98131_enhancer_ZIC5_11230.5_ZIC2_21856.5	peak_HP_SKM_98131_enhancer_ZIC5_11070.0_ZIC2_21717.5	18	28	18	28	0.18392482137699062
peak_CM_HP_MN_PP_SKM_220271_promoter_TTLL3	peak_CM_HP_MN_PP_SKM_220271_promoter_TTLL3	21	33	21	33	0.13367423536410522
peak_CM_HP_MN_PP_SKM_241034_promoter_ALG3_ECE2	peak_CM_HP_MN_PP_SKM_241034_promoter_ALG3_ECE2	64	80	64	80	0.21115264054329322
peak_CM_HP_MN_PP_SKM_277418_enhancer_DPYSL3_56030.0_JAKMIP2_272985.0	peak_CM_HP_MN_PP_SKM_277418_enhancer_DPYSL3_56773.0_JAKMIP2_273025.5	24	34	24	34	0.23704711476271959
peak_CM_HP_MN_PP_SKM_336392_promoter_TAF2	peak_CM_HP_MN_PP_SKM_336392_promoter_TAF2	18	27	18	27	0.23269319190831084
peak_CM_HP_MN_PP_SKM_154309_promoter_BSG	peak_CM_HP_MN_PP_SKM_154309_promoter_BSG	21	38	21	38	0.036343179957053884
peak_CM_HP_MN_PP_SKM_347061_enhancer_SHC3_47430.0_CKS2_84827.5	peak_CM_HP_MN_PP_SKM_347061_enhancer_SHC3_48222.0_CKS2_86616.5	22	32	22	32	0.22032849417661093
peak_CM_HP_MN_PP_SKM_333344_promoter_PDP1	peak_CM_HP_MN_PP_SKM_333344_promoter_PDP1	32	48	32	48	0.09291188222054622
peak_CM_HP_MN_PP_SKM_244751_promoter_SORCS2	peak_CM_HP_MN_PP_SKM_244751_promoter_SORCS2	36	23	36	23	0.11747735024505848
peak_CM_HP_MN_PP_SKM_268999_enhancer_GCNT4_23767.0_ANKRD31_183538.5	peak_CM_HP_MN_PP_SKM_268999_enhancer_GCNT4_23854.5_ANKRD31_187870.0	23	37	23	37	0.09246098107292373
peak_CM_HP_MN_PP_SKM_103984_promoter_EXOC5_AP5M1	peak_CM_HP_MN_PP_SKM_103984_promoter_EXOC5_AP5M1	19	27	19	27	0.3019956131896606
peak_CM_HP_MN_PP_SKM_168938_promoter_GRHL1	peak_CM_HP_MN_PP_SKM_168938_promoter_GRHL1	25	34	25	34	0.2975952082844287
peak_CM_HP_MN_PP_SKM_117972_promoter_ST20-MTHFS_ST20_MTHFS	peak_CM_HP_MN_PP_SKM_117972_promoter_ST20-MTHFS_ST20_MTHFS	33	48	33	48	0.1192736683117644
peak_CM_HP_MN_PP_SKM_196438_promoter_LRRFIP1	peak_CM_HP_MN_PP_SKM_196438_promoter_LRRFIP1	37	18	37	18	0.014453833533827728
peak_CM_HP_MN_PP_SKM_316379_promoter_DOCK4_ZNF277	peak_CM_HP_MN_PP_SKM_316379_promoter_DOCK4_ZNF277	117	87	117	87	0.04205139482879746
peak_CM_HP_MN_PP_SKM_256041_promoter_CCNA2	peak_CM_HP_MN_PP_SKM_256041_promoter_CCNA2	36	22	36	22	0.08694889972991102
peak_CM_HP_MN_PP_SKM_167509_promoter_SLC27A5	peak_CM_HP_MN_PP_SKM_167509_promoter_SLC27A5	35	23	35	23	0.14800580076020603
peak_CM_HP_MN_PP_SKM_121836_promoter_KREMEN2	peak_CM_HP_MN_PP_SKM_121836_promoter_KREMEN2	28	17	28	17	0.1351564508456704
peak_CM_HP_MN_PP_SKM_24945_promoter_TSEN15	peak_CM_HP_MN_PP_SKM_24945_promoter_TSEN15	17	25	17	25	0.27995623852893914
peak_CM_HP_MN_PP_SKM_180565_enhancer_POU3F3_17838.5_MRPS9_164643.5	peak_CM_HP_MN_PP_SKM_180565_enhancer_POU3F3_17789.0_MRPS9_166887.5	18	26	18	26	0.2912152365458951
peak_CM_HP_MN_PP_SKM_167208_promoter_ZNF264	peak_CM_HP_MN_PP_SKM_167208_promoter_ZNF264	23	37	23	37	0.09246098107292373
peak_CM_HP_MN_PP_SKM_28369_promoter_SERTAD4	peak_CM_HP_MN_PP_SKM_28369_promoter_SERTAD4	41	27	41	27	0.11425430684992327
peak_CM_HP_MN_PP_SKM_302871_enhancer_FSCN1_30488.5_FSCN1_41596.5	peak_CM_HP_MN_PP_SKM_302871_enhancer_FSCN1_30227.0_FSCN1_41351.0	28	39	28	39	0.22154872964481104
peak_CM_HP_MN_PP_SKM_334417_promoter_YWHAZ	peak_CM_HP_MN_PP_SKM_334417_promoter_YWHAZ	90	69	90	69	0.1124301195349186
peak_CM_HP_MN_PP_SKM_155685_promoter_PIAS4	peak_CM_HP_MN_PP_SKM_155685_promoter_PIAS4	47	68	47	68	0.06170860823922407
peak_CM_PP_SKM_298451_enhancer_ZC3H12D_30144.0_SUMO4_54534.0	peak_CM_PP_SKM_298451_enhancer_ZC3H12D_30335.0_SUMO4_52645.0	31	20	31	20	0.16077960181198847
peak_CM_HP_MN_PP_SKM_281312_promoter_NSD1	peak_CM_HP_MN_PP_SKM_281312_promoter_NSD1	31	20	31	20	0.16077960181198847
peak_CM_HP_MN_PP_SKM_85745_promoter_PTPN11	peak_CM_HP_MN_PP_SKM_85745_promoter_PTPN11	21	29	21	29	0.3222363203575469
peak_CM_HP_MN_PP_SKM_337165_promoter_KIAA0196_NSMCE2	peak_CM_HP_MN_PP_SKM_337165_promoter_KIAA0196_NSMCE2	21	29	21	29	0.3222363203575469
peak_CM_HP_MN_PP_119122_enhancer_POLG_24159.0_FANCI_114994.0	peak_CM_HP_MN_PP_119122_enhancer_POLG_25412.0_FANCI_117413.0	31	20	31	20	0.16077960181198847
peak_CM_HP_MN_PP_SKM_214823_promoter_CRKL	peak_CM_HP_MN_PP_SKM_214823_promoter_CRKL	61	44	61	44	0.11799998150585843
peak_CM_HP_MN_PP_SKM_355726_promoter_GRIN1	peak_CM_HP_MN_PP_SKM_355726_promoter_GRIN1	31	20	31	20	0.16077960181198847
peak_CM_HP_MN_PP_SKM_258437_promoter_ZNF827	peak_CM_HP_MN_PP_SKM_258437_promoter_ZNF827	53	38	53	38	0.14179337454474714
peak_CM_HP_MN_PP_SKM_17008_promoter_STXBP3	peak_CM_HP_MN_PP_SKM_17008_promoter_STXBP3	33	42	33	42	0.3556992390814873
peak_CM_HP_MN_PP_SKM_60529_promoter_SNX32	peak_CM_HP_MN_PP_SKM_60529_promoter_SNX32	33	42	33	42	0.3556992390814873
peak_CM_HP_MN_PP_SKM_344027_promoter_FAM214B	peak_CM_HP_MN_PP_SKM_344027_promoter_FAM214B	33	42	33	42	0.3556992390814873
peak_CM_HP_MN_PP_SKM_319388_promoter_MTPN	peak_CM_HP_MN_PP_SKM_319388_promoter_MTPN	40	50	40	50	0.34283311942078837
peak_CM_HP_MN_PP_SKM_273761_promoter_LOX	peak_CM_HP_MN_PP_SKM_273761_promoter_LOX	53	38	53	38	0.14179337454474714
peak_CM_HP_MN_PP_SKM_226016_promoter_USP4	peak_CM_HP_MN_PP_SKM_226016_promoter_USP4	53	38	53	38	0.14179337454474714
peak_CM_HP_MN_PP_SKM_325525_promoter_KCTD9_CDCA2	peak_CM_HP_MN_PP_SKM_325525_promoter_KCTD9_CDCA2	85	63	85	63	0.08396661724393041
peak_CM_HP_MN_PP_SKM_154681_promoter_RPS15	peak_CM_HP_MN_PP_SKM_154681_promoter_RPS15	38	25	38	25	0.12991792302255253
peak_CM_HP_MN_PP_SKM_15964_promoter_RWDD3	peak_CM_HP_MN_PP_SKM_15964_promoter_RWDD3	38	25	38	25	0.12991792302255253
peak_CM_HP_MN_PP_SKM_77281_promoter_TFCP2	peak_CM_HP_MN_PP_SKM_77281_promoter_TFCP2	38	25	38	25	0.12991792302255253
peak_CM_HP_MN_PP_SKM_313929_promoter_LMTK2	peak_CM_HP_MN_PP_SKM_313929_promoter_LMTK2	27	36	27	36	0.31350305329645284
peak_CM_HP_MN_PP_SKM_167441_enhancer_ZSCAN22_21503.5_ZNF8_26528.5	peak_CM_HP_MN_PP_SKM_167441_enhancer_ZSCAN22_21780.0_ZNF8_26580.5	38	25	38	25	0.12991792302255253
peak_CM_HP_MN_PP_SKM_297734_promoter_HIVEP2	peak_CM_HP_MN_PP_SKM_297734_promoter_HIVEP2	81	61	81	61	0.11051344647284385
peak_CM_HP_MN_PP_SKM_166097_enhancer_CLEC11A_1663.0_SHANK1_5201.0	peak_CM_HP_MN_PP_SKM_166097_enhancer_CLEC11A_1662.5_SHANK1_5202.5	81	61	81	61	0.11051344647284385
peak_CM_HP_MN_PP_SKM_119410_promoter_ZNF774	peak_CM_HP_MN_PP_SKM_119410_promoter_ZNF774	38	25	38	25	0.12991792302255253
peak_CM_HP_MN_PP_SKM_134942_promoter_NCOR1_PIGL	peak_CM_HP_MN_PP_SKM_134942_promoter_PIGL_NCOR1	56	67	56	67	0.36729673939388785
peak_CM_HP_MN_PP_SKM_220195_promoter_SETD5	peak_CM_HP_MN_PP_SKM_220195_promoter_SETD5	198	226	198	226	0.18971562588443444
peak_CM_HP_MN_PP_SKM_48231_promoter_GFRA1	peak_CM_HP_MN_PP_SKM_48231_promoter_GFRA1	62	45	62	45	0.12151242187624421
peak_CM_HP_MN_PP_SKM_59540_promoter_TUT1	peak_CM_HP_MN_PP_SKM_59540_promoter_TUT1	36	46	36	46	0.3202933636380142
peak_CM_HP_MN_PP_SKM_224930_promoter_ANO10	peak_CM_HP_MN_PP_SKM_224930_promoter_ANO10	75	91	75	91	0.24424992712067206
peak_CM_HP_MN_PP_SKM_224633_enhancer_ULK4_63366.0_TRAK1_134766.0	peak_CM_HP_MN_PP_SKM_224633_enhancer_ULK4_67766.0_TRAK1_135148.0	35	50	35	50	0.12839640292640084
peak_CM_HP_MN_PP_SKM_7327_promoter_ZBTB8B	peak_CM_HP_MN_PP_SKM_7327_promoter_ZBTB8B	35	50	35	50	0.12839640292640084
peak_CM_HP_MN_PP_SKM_309581_promoter_LANCL2	peak_CM_HP_MN_PP_SKM_309581_promoter_LANCL2	84	101	84	101	0.23937768210630633
peak_CM_HP_MN_PP_SKM_67514_promoter_SIK3	peak_CM_HP_MN_PP_SKM_67514_promoter_SIK3	35	48	35	48	0.18745986796619285
peak_CM_HP_MN_PP_SKM_143819_promoter_UBALD2	peak_CM_HP_MN_PP_SKM_143819_promoter_UBALD2	37	48	37	48	0.2779992890805517
peak_CM_HP_MN_PP_SKM_331497_promoter_STAU2	peak_CM_HP_MN_PP_SKM_331497_promoter_STAU2	51	62	51	62	0.34689310509533516
peak_CM_HP_MN_PP_SKM_115290_promoter_PARP16	peak_CM_HP_MN_PP_SKM_115290_promoter_PARP16	37	22	37	22	0.06744461190078899
peak_CM_HP_MN_PP_SKM_105477_enhancer_ZFP36L1_20581.0_ZFP36L1_23605.0	peak_CM_HP_MN_PP_SKM_105477_enhancer_ZFP36L1_20529.5_ZFP36L1_23547.5	31	40	31	40	0.34247099841986794
peak_CM_MN_SKM_268743_enhancer_TMEM174_102081.0_TMEM171_154672.0	peak_CM_MN_SKM_268743_enhancer_TMEM174_101612.0_TMEM171_154082.0	21	35	21	35	0.08142681460950618
peak_CM_HP_MN_PP_SKM_245393_promoter_ZNF518B	peak_CM_HP_MN_PP_SKM_245393_promoter_ZNF518B	25	37	25	37	0.16188140552559763
peak_CM_HP_MN_PP_SKM_308444_enhancer_TNS3_254181.5_C7orf65_327079.5	peak_CM_HP_MN_PP_SKM_308444_enhancer_TNS3_254135.5_C7orf65_328490.0	25	34	25	34	0.2975952082844287
peak_CM_HP_MN_PP_SKM_74611_promoter_ITPR2	peak_CM_HP_MN_PP_SKM_74611_promoter_ITPR2	49	27	49	27	0.01544026202090637
peak_CM_HP_MN_PP_SKM_243572_promoter_C4orf48	peak_CM_HP_MN_PP_SKM_243572_promoter_C4orf48	32	43	32	43	0.24804574189252784
peak_CM_HP_MN_PP_SKM_355782_promoter_NELFB	peak_CM_HP_MN_PP_SKM_355782_promoter_NELFB	26	40	26	40	0.10885696440971612
peak_CM_HP_MN_PP_SKM_241026_promoter_VWA5B2	peak_CM_HP_MN_PP_SKM_241026_promoter_VWA5B2	30	41	30	41	0.23509756240834187
peak_CM_HP_MN_PP_SKM_244680_enhancer_CCDC96_55960.5_TADA2B_56353.5	peak_CM_HP_MN_PP_SKM_244680_enhancer_CCDC96_56055.0_TADA2B_56445.5	30	41	30	41	0.23509756240834187
peak_CM_HP_MN_PP_SKM_100582_promoter_MYH7	peak_CM_HP_MN_PP_SKM_100582_promoter_MYH7	24	35	24	35	0.19252645776146274
peak_CM_HP_MN_PP_SKM_159824_enhancer_SSBP4_2198.5_LRRC25_19583.0	peak_CM_HP_MN_PP_SKM_159824_enhancer_SSBP4_2216.0_LRRC25_19452.5	35	23	35	23	0.14800580076020603
peak_CM_HP_MN_PP_SKM_63046_promoter_AQP11	peak_CM_HP_MN_PP_SKM_63046_promoter_AQP11	20	36	20	36	0.044046546102150766
peak_CM_HP_MN_PP_SKM_112239_enhancer_BMF_5260.5_BUB1B_57455.0	peak_CM_HP_MN_PP_SKM_112239_enhancer_BMF_5235.5_BUB1B_53375.0	39	55	39	55	0.12137111297242868
peak_CM_HP_MN_PP_SKM_143183_promoter_TTYH2	peak_CM_HP_MN_PP_SKM_143183_promoter_TTYH2	19	28	19	28	0.24296021728332556
peak_CM_HP_MN_PP_SKM_133677_promoter_SAT2	peak_CM_HP_MN_PP_SKM_133677_promoter_SAT2	20	34	20	34	0.0759047294891014
peak_MN_PP_213493_enhancer_LRRC3_30612.5_TRPM2_71620.5	peak_MN_PP_213493_enhancer_LRRC3_55516.5_TRPM2_78475.5	20	28	20	28	0.31232680747326935
peak_CM_HP_MN_PP_SKM_112856_promoter_CCNDBP1	peak_CM_HP_MN_PP_SKM_112856_promoter_CCNDBP1	31	18	31	18	0.08543313315739454
peak_CM_HP_MN_PP_SKM_93010_promoter_LACC1_CCDC122	peak_CM_HP_MN_PP_SKM_93010_promoter_LACC1_CCDC122	19	29	19	29	0.19341265286193737
peak_CM_HP_MN_PP_SKM_27265_promoter_PPP1R15B	peak_CM_HP_MN_PP_SKM_27265_promoter_PPP1R15B	63	44	63	44	0.0813530482059657
peak_CM_HP_MN_PP_SKM_348961_promoter_ALG2_SEC61B	peak_CM_HP_MN_PP_SKM_348961_promoter_ALG2_SEC61B	40	58	40	58	0.0854105891128046
peak_CM_HP_MN_PP_SKM_57233_promoter_C11orf96	peak_CM_HP_MN_PP_SKM_57233_promoter_C11orf96	43	63	43	63	0.06446359198949378
peak_CM_HP_MN_PP_SKM_268682_enhancer_TNPO1_31379.5_FCHO2_139266.5	peak_CM_HP_MN_PP_SKM_268682_enhancer_TNPO1_31402.5_FCHO2_140399.0	57	68	57	68	0.3711606948508093
peak_CM_HP_MN_PP_SKM_154339_promoter_RNF126	peak_CM_HP_MN_PP_SKM_154339_promoter_RNF126	32	21	32	21	0.16897782228771874
peak_CM_HP_MN_PP_SKM_132000_promoter_SPATA2L	peak_CM_HP_MN_PP_SKM_132000_promoter_SPATA2L	63	46	63	46	0.12500454132583336
peak_CM_HP_MN_PP_SKM_4593_enhancer_KIF17_21184.5_DDOST_35276.5	peak_CM_HP_MN_PP_SKM_4593_enhancer_KIF17_21201.5_DDOST_33982.5	46	32	46	32	0.14053828626952242
peak_CM_HP_MN_PP_SKM_320078_promoter_DENND2A	peak_CM_HP_MN_PP_SKM_320078_promoter_DENND2A	46	32	46	32	0.14053828626952242
