Peak.Humreffed	Peak.Chpreffed	ATAC11_SKM_Hyb1_Human_humreffed_all_peaks.txt	ATAC11_SKM_Hyb1_Chimp_humreffed_all_peaks.txt	Sum Human	Sum Chimp	Binomial p-value
peak_CM_HP_MN_PP_SKM_286583_enhancer_TBC1D22B_35350.0_TMEM217_35724.5	peak_CM_HP_MN_PP_SKM_286583_enhancer_TBC1D22B_35496.0_TMEM217_35876.5	29	5	29	5	3.8558151572942734e-05
peak_CM_HP_MN_PP_SKM_121513_enhancer_SYNGR3_2681.0_GFER_8493.0	peak_CM_HP_MN_PP_SKM_121513_enhancer_SYNGR3_2689.0_GFER_8510.0	12	39	12	39	0.0001980394513374506
peak_MN_SKM_59055_enhancer_SLC15A3_4074.0_CD6_23395.5	peak_MN_SKM_59055_enhancer_SLC15A3_4000.0_CD6_23332.0	26	4	26	4	5.9476122260093696e-05
peak_HP_MN_PP_SKM_220168_enhancer_SRGAP3_30624.5_THUMPD3_82810.5	peak_HP_MN_PP_SKM_220168_enhancer_SRGAP3_30563.0_THUMPD3_83455.5	13	44	13	44	4.7104376093953786e-05
peak_CM_HP_MN_PP_SKM_145423_enhancer_ACTG1_24643.5_FSCN2_40467.0	peak_CM_HP_MN_PP_SKM_145423_enhancer_ACTG1_25342.0_FSCN2_41101.5	8	32	8	32	0.0001821658297558315
peak_CM_HP_MN_PP_38669_enhancer_GPRIN2_33648.5_SYT15_56382.5	peak_CM_HP_MN_PP_38669_enhancer_GPRIN2_33841.0_SYT15_56593.0	32	7	32	7	7.025478407740593e-05
peak_CM_SKM_277403_enhancer_DPYSL3_42409.0_STK32A_176205.0	peak_CM_SKM_277403_enhancer_DPYSL3_42095.0_STK32A_175703.5	6	29	6	29	0.0001168418675661087
peak_CM_HP_MN_PP_SKM_142501_promoter_WIPI1	peak_CM_HP_MN_PP_SKM_142501_promoter_WIPI1	62	106	62	106	0.0008548765507311558
peak_CM_HP_MN_PP_SKM_159603_enhancer_JAK3_5716.5_RPL18A_17589.0	peak_CM_HP_MN_PP_SKM_159603_enhancer_JAK3_5691.5_RPL18A_17350.0	17	45	17	45	0.0004970915863810334
peak_CM_HP_MN_PP_SKM_315231_enhancer_PMPCB_16912.0_PMPCB_19702.0	peak_CM_HP_MN_PP_SKM_315231_enhancer_PMPCB_30737.0_PMPCB_33545.5	10	34	10	34	0.00038813090293388086
peak_HP_PP_SKM_251541_enhancer_FRAS1_165117.5_ANXA3_329212.0	peak_HP_PP_SKM_251541_enhancer_FRAS1_163600.0_ANXA3_322483.5	10	35	10	35	0.00024708778460080794
peak_CM_HP_MN_PP_SKM_225830_enhancer_SHISA5_31374.0_TREX1_38449.5	peak_CM_HP_MN_PP_SKM_225830_enhancer_SHISA5_31134.5_TREX1_38259.5	19	50	19	50	0.00024439701657757496
peak_CM_SKM_352020_enhancer_PSMB7_72389.0_NEK6_84786.0	peak_CM_SKM_352020_enhancer_PSMB7_72232.0_NEK6_85775.5	41	12	41	12	8.171334999262925e-05
peak_CM_SKM_180009_enhancer_NPAS2_77378.0_PDCL3_179763.5	peak_CM_SKM_180009_enhancer_NPAS2_77446.0_PDCL3_179547.5	54	20	54	20	9.612986582365388e-05
peak_CM_HP_MN_PP_SKM_223981_promoter_PLCD1	peak_CM_HP_MN_PP_SKM_223981_promoter_PLCD1	30	74	30	74	1.8940835677418383e-05
peak_CM_MN_PP_99938_enhancer_OR4K2_18442.5_OR4K5_25907.5	peak_CM_MN_PP_99938_enhancer_OR4K2_15653.5_OR4K5_26074.5	44	14	44	14	0.00010049669926914809
peak_CM_HP_MN_PP_SKM_132041_promoter_SPIRE2	peak_CM_HP_MN_PP_SKM_132041_promoter_SPIRE2	55	21	55	21	0.0001206291159979032
