gene	dEE	ASE	humallele	chpallele
SRBD1	0.278711757754991	-0.434437545630257	206.75	279.75
SRCAP	0.234044952983181	0.104939247379732	1570.5	1460.25
SRCIN1	0.231945259062223	-0.758991900496205	2.25	4.5
SRD5A1	0.175153846922267	0.200333257032984	220.75	192
SRD5A2	0.138452123492365	-1.16992500144231	0	1.25
SRD5A3	0.149636243787327	0.492176897260422	138.25	98
SREBF1	0.315886254672804	-0.136469704256833	2093	2300.75
SREBF2	0.171532664241411	-0.446556803691655	2905	3959.25
SREK1	0.498573497664247	0.113967871298433	1690.75	1562.25
SREK1IP1	0.264005126782782	0.404549484155253	398.75	301
SRF	0.0896349060885664	0.0279317592113532	1967.75	1930
SRFBP1	0.136337309710803	0.215937399199148	110.5	95
SRGAP1	0.143906903471045	0.163388396537279	260.5	232.5
SRGAP2	0.45668917692272	0.211054877402167	632.75	546.5
SRGAP2B	0.20664938561386	4.2667865406949	18.25	0
SRGAP2C	0.2032670606775	4.97727992349992	30.5	0
SRGAP3	0.0228047047936501	0.0137531550673302	130.75	129.5
SRGN	0	0	0.25	0.25
SRI	0.0714162337132279	-0.0850139903673846	328.5	348.5
SRL	0.0677322421452771	-1.30747588956267	460.5	1141.25
SRM	0.0545432616493576	-0.0139354508431037	926.25	935.25
SRP14	0.100494219516578	-0.0802746009542089	934	987.5
SRP19	0.279144575006687	-0.313228399936977	248.5	309
SRP54	0.0100240587665247	-0.00404683306270193	266	266.75
SRP68	0.327364742781178	-0.0889817622770712	529.5	563.25
SRP72	0.223226916077612	0.113975192254704	519	479.5
SRP9	0.241700325749829	0.363745088806322	832.5	646.75
SRPK1	0.533219655240337	-0.205414086160937	231	266.5
SRPK2	0.161134039229993	0.350960912535943	193.5	151.5
SRPK3	1	0.0324214776923774	201.5	197
SRPRA	0.108486755265956	-0.0117771677763537	1493.5	1505.75
SRPRB	0.610920065082672	-0.13632147121278	581.75	639.5
SRPX	0.0479171712718457	-0.273904030302657	434.25	525.25
SRPX2	0.176884834066116	-0.300173542246841	182.75	225.25
SRR	0.0574752829929867	-0.0357845751399735	218	223.5
SRRD	0.265364457930071	-0.142511644467752	410.75	453.5
SRRM1	0.336749696827465	-0.00627487052650828	687.25	690.25
SRRM2	1	-0.00231819889602821	20675	20708.25
SRRM3	0.691839232393387	-0.934209529469691	102.75	197.25
SRRM4	0.878610698519274	-0.479396745075222	33.25	46.75
SRRM5	0.254860496625081	-0.84245872301352	13.5	25
SRRT	0.282178068599331	0.337223903952471	2310.25	1828.5
SRSF1	0.0534077565374076	-0.0116967595169494	582.5	587.25
SRSF10	0.2301448730358	-0.369160452734792	1109.25	1433
SRSF11	0.175893082756056	0.0426150411008784	2215	2150.5
SRSF12	0.0708766088744279	-0.0807610119638364	81.5	86.25
SRSF2	1	0.01439242163603	1359	1345.5
SRSF3	0.312041795076552	0.0601018077906482	2799	2684.75
SRSF4	0.12480586710645	-0.0424285562201384	778	801.25
SRSF5	0.632584534856598	0.171372012689418	903	801.75
SRSF7	0.120048869608335	0.183240934143352	982	864.75
SRSF8	0.585395844970264	0.0387171075728536	480.5	467.75
SRSF9	0.21280431371028	-0.492149283810979	350.75	493.75
SRY	0.225016838416622	-1.16992500144231	1	3.5
SS18	0.195481952406826	0.122079952244183	473.5	435
SS18L2	0.335806238210472	-0.200750127579451	87.75	101
SSB	0.375082402256103	-0.202317359958173	366	421.25
SSBP1	0.743730648630733	-0.109324990438341	116.5	125.75
SSBP2	0.0877537223816587	0.115049773327859	631.75	583.25
SSBP3	0.133032648775604	-0.120357104660837	1605.25	1745
SSBP4	0.10743325758358	0.0705638298620841	1549.25	1475.25
SSC4D	0.117824295193491	1.27485015608099	458.75	189
SSC5D	0.407797418466279	0.79172711386361	750.75	433.25
SSH1	0.331066488802248	0.292367110085688	2369	1934.25
SSH2	0.476293811116431	0.495293270414542	1084.75	769.25
SSH3	0.161795729546575	-0.258971793914553	769.5	921
SSMEM1	0	0	0.5	0.5
SSNA1	0.29028634459233	-0.256528441974384	443.5	530
SSPN	0.0551445679380068	-0.138095520081955	220.5	242.75
SSR1	0.248018281940398	0.22691654753755	1263.25	1079.25
SSR2	0.151815719749445	-0.0969353438332875	2664.5	2849.75
