gene	dEE	ASE	humallele	chpallele
KLHDC3	0.0627230444402047	-0.0344634095682217	1819	1863
KLHDC4	0.259194775413772	-0.561705076177134	869.25	1283.5
KLHDC7A	0.26611653930001	1.55133172283988	158	53.25
KLHDC7B	0.156155718292113	-0.362570079384708	0.75	1.25
KLHDC8A	0.0475808918007631	-0.145788095560802	109.5	121.25
KLHDC8B	0.379004420289281	-0.39151449482172	876.25	1149.75
KLHDC9	1	0.0726844539014833	85.5	81.25
KLHL1	0.117065615921369	0.317190175880699	37	29.5
KLHL10	0.23397811167948	-0.584962500721156	1	2
KLHL11	0.22794083040879	-0.121015400961366	319	347
KLHL12	0.151248977725861	-0.424000417874775	951.75	1277.25
KLHL13	0.0889203897464106	-0.12725438519629	487	532
KLHL14	0.472650182839156	1.03747470541866	28.25	13.25
KLHL15	0.192828347127414	-0.0170064253056899	188.75	191
KLHL17	0.214856040348861	0.544617786227894	858.5	588.25
KLHL18	0.293425782652144	-0.210374382636403	623.25	721.25
KLHL2	1	0.257771708752917	300	250.75
KLHL20	0.170005772058407	0.437983430944924	168	123.75
KLHL21	0.0263704426746173	0.00626317080905128	749.25	746
KLHL22	0.117273695371342	0.113727685109007	582.75	538.5
KLHL23	0.432491917100203	0.315078039618814	471.75	379
KLHL24	0.332076477792176	-0.315190879031965	889.75	1107.25
KLHL25	0.248593279454257	-0.323672235789966	495	619.75
KLHL26	1	-0.00288250853312144	249	249.5
KLHL28	0.186679174448406	-0.337980500172728	285	360.5
KLHL29	0.41299028942319	-0.492901947732388	205.25	289.25
KLHL3	0.125380964637437	0.102604485234351	436	406
KLHL30	0.0119377291493672	-0.0230836131130413	14.5	14.75
KLHL31	0.207378106429177	-1.3401871778503	144.25	366.75
KLHL32	0.0640103085651842	0.119581615752672	21	19.25
KLHL33	0.0919343268417853	0.160464672193246	3.75	3.25
KLHL34	0.325653729464479	0.736965594166206	2.75	1.25
KLHL35	0.0387773047137434	0.141355849245542	36.5	33
KLHL36	0.214090253400867	-0.0966566905704984	1554	1661.75
KLHL38	0.187795792125304	0.321928094887362	0.25	0
KLHL4	0.25585688090189	0.655351828612554	14.75	9
KLHL40	0.526923607016133	-1.33257533908687	5.75	16
KLHL41	0.249916522057045	-1.30256277002043	2.75	8.25
KLHL42	0.175980833803376	-0.26399423719422	875.5	1051.5
KLHL5	0.177562393514909	-0.487810432806675	1424.5	1998
KLHL6	0.0969028429653493	-0.115477217419936	2	2.25
KLHL7	0.203755723718517	0.292007389256219	720.75	588.5
KLHL8	0.227169274822726	0.443839229007669	433.25	318.25
KLHL9	0.567572330230747	0.0575077755915159	920.25	884.25
KLK1	0.481814721782285	-0.269186632815389	8.75	10.75
KLK10	0.214052300099933	0.988504361162171	30.25	14.75
KLK11	0.0419269485370159	0.174029399775049	10	8.75
KLK12	0.410350282026898	0.628031222613042	3.25	1.75
KLK13	0.186633168244176	-1.4254042148371	38	103.75
KLK14	0.045206638280262	-0.0931094043914815	10.25	11
KLK15	0	0	0	0
KLK2	0	0	0.25	0.25
KLK3	0.347997494774292	-0.415037499278844	0.5	1
KLK4	0.351013609080424	0.736965594166206	1.5	0.5
KLK5	0.120408393537147	-0.241008099503795	1.75	2.25
KLK6	0.108552742417178	-0.959050371820736	200	389.75
KLK7	0.377429182044716	2.05889368905357	24	5
KLK8	0.277104851365487	-1.1797060222349	48	110
KLK9	0.380863982869096	-0.84799690655495	0.25	1.25
KLKB1	0.253920062455246	1.53343220008107	12.75	3.75
KLLN	0.0891466966386517	0.0422282353892975	51	49.5
KLRB1	0.444325904525685	-0.678071905112638	0.25	1
KLRC1	1	0.321928094887362	0.25	0
KLRC2	0	0	0.25	0.25
KLRC3	0.31396374801627	0.415037499278844	1	0.5
KLRC4	0	0	0.5	0.5
KLRC4-KLRK1	0.477134341978611	0.912537158749661	7	3.25
KLRD1	0.173767081784119	-1.26646531123407	42.75	104.25
KLRF1	0.100713318940563	-0.241008099503795	1.75	2.25
KLRF2	0	0	0	0
KLRG1	0.179813471199141	0.965234581839323	29.75	14.75
KLRG2	0.136816604943415	0.154722594798642	13.75	12.25
KLRK1	0.0345350943264049	-0.259087221317131	14.25	17.25
KMO	0.142696450452878	0.592773537890057	346.25	229.25
KMT2A	0.134851587109022	0.0231258093742929	1791.25	1762.75
KMT2B	0.276243369783177	0.159659222256503	1500	1342.75
KMT2C	0.074602295315748	0.0229929702977813	2181	2146.5
KMT2D	0.315213570496774	-0.163221481280839	2647.5	2964.75
KMT2E	1	0.0106202170628563	987.5	980.25
KMT5A	0.361360650958213	-0.405659166962983	693.5	919
KMT5B	0.201988932869141	0.144420688470936	615.75	557
KMT5C	0.278304397086022	-0.256690977826569	834.75	997.5
KNCN	1	1	1	0
KNDC1	0.273887172742093	-0.646974983117384	964.75	1511.25
KNG1	0.275521502659475	-1.02466205423427	6.25	13.75
KNL1	0.225001326944621	-0.31340462211113	533.75	663.5
KNOP1	0.623582259711043	-0.124750929797675	1039.75	1133.75
KNSTRN	0.160488519676674	0.145299553148973	416.5	376.5
KNTC1	0.108400830806124	0.599864439695379	814	536.75
KPNA1	0.151007294601076	0.105955065607802	952.25	884.75
KPNA2	0.194528858180681	0.277081386351663	1954.75	1613
KPNA3	0.274505632829527	-0.172978325419866	943	1063.25
KPNA4	0.276507113368754	0.478642450497041	1059.75	760.25
KPNA5	0.252659063100608	0.262244104504314	272.75	227.25
KPNA6	0.346888260402181	0.0547186490860002	1638	1577
KPNA7	0.274528095974795	-0.0995356735509144	2.5	2.75
KPNB1	0.1796442132664	-0.175971038448343	3901.5	4407.75
KPTN	0.429618214948091	-0.43031085290386	286.75	386.75
KRAS	0.330938688105885	-0.178782560726252	1825.75	2066.75
KRBA1	0.0774672205570677	-0.00941787132882594	609.75	613.75
KRBA2	0.0630120429240665	0.37761140464041	760	584.75
KRBOX1	0.539843586085491	-1.8073549220576	0	2.5
KRBOX4	0.237963767195333	0.195920209975257	203.75	177.75
KRCC1	0.0547515768173101	0.00492668107992668	219	218.25
KREMEN1	0.445517001649719	-0.170467469973197	1328.5	1495.25
KREMEN2	0.113426324271989	0.769540573293328	1387.5	813.5
KRI1	0.210009226700137	-0.246831487594145	1021.25	1212
KRIT1	0.0872417138349136	0.0777168742555415	490	464.25
KRR1	0.520639266762404	-0.234044646061954	813.75	957.25
KRT1	0.5798182494356	0.669851398307669	7.75	4.5
KRT10	0.0959365594230207	0.104380062845497	414.5	385.5
KRT13	0.440047784111191	1.64385618977472	5.25	1
KRT14	0	0	0.5	0.5
KRT15	0.206541395182215	-0.523246716234741	148.25	213.5
KRT16	0.385926302557705	-1.71620703399941	0.75	4.75
KRT17	0.287884678924472	0.594270242947384	154.5	102
KRT18	0.129861644783355	0.120681482422463	201.5	185.25
KRT19	0.235657994872642	0.386780973168185	13746.75	10513.75
KRT2	0	0	0	0
KRT222	0.140724940724859	-0.954196310386875	7	14.5
KRT24	0.703138354648571	0.502500340529183	3.25	2
KRT25	0	0	0	0
KRT27	0	0	0	0
KRT28	0.195837140067271	-0.321928094887362	0	0.25
KRT3	0.378240851367296	1.11547721741994	2.25	0.5
KRT31	0	0	0	0
KRT32	0	0	0	0
KRT35	0	0	0	0
KRT36	1	0.321928094887362	0.25	0
KRT4	0.459516366108606	4.85174904141606	114.5	3
KRT5	0.459391959578759	0.805183823015977	40.5	22.75
KRT6A	0.736686913166936	0.605721060887954	7.75	4.75
KRT6B	0.12162565066475	-0.263034405833794	0.25	0.5
KRT6C	0	0	0	0
KRT7	1	0.510943212253425	481	337.25
KRT71	0.310944709547575	-0.807354922057604	0	0.75
KRT72	0	0	0.25	0.25
KRT73	1	0.263034405833794	0.5	0.25
KRT74	0	0	0	0
KRT75	0	0	0	0
KRT76	0	0	0	0
KRT77	0.431123304529985	1.03102689562062	10.75	4.75
KRT78	0.210001505162239	-0.906890595608518	1	2.75
KRT79	0.4040028572803	2.43295940727611	5.75	0.25
KRT8	0.113839340765171	0.1677992977473	9557.25	8507.75
KRT80	0.460296456350945	1.20435849850619	52	22
KRT81	0	0	0.75	0.75
KRT82	0	0	0	0
KRT83	0	0	0	0
KRT84	0	0	0	0
KRT85	0	0	0	0
KRT86	0.229904614155291	-1.20163386116965	1.5	4.75
KRT9	0	0	0.5	0.5
KRTAP10-12	1	-0.321928094887362	0	0.25
KRTAP10-2	0.550339713213208	0.321928094887362	0.25	0
KRTAP10-4	0	0	0	0
KRTAP10-7	0.354980078574252	-0.321928094887362	0	0.25
KRTAP11-1	0	0	0	0
KRTAP12-2	1	-0.321928094887362	0	0.25
KRTAP13-1	0.744041975190185	2.90689059560852	6.5	0
KRTAP13-2	0.827639223197041	1.26303440583379	2	0.25
