gene	dEE	ASE	humallele	chpallele
PEX14	0.219242544615292	-0.170210711917727	560	630.25
PEX16	0.227932024619944	0.278015287314815	294.25	242.5
PEX19	0.10562696274455	0.104287821946689	1476	1373
PEX2	0.0202527460305515	-0.0119609637544527	509.5	513.75
PEX26	0.253067697430771	0.351236988577121	1425.5	1117.25
PEX3	0.17548815728044	-0.0584956493101444	107.75	112.25
PEX5	0.239448021349611	-0.31194400631474	383.25	476
PEX5L	0.284995207741686	-0.29218075149331	11.25	14
PEX6	0.251547856291881	0.63561771708485	441	283.5
PEX7	0.59394937803257	-0.170800688899176	90.5	102
PF4	0.0643110968756196	-0.415037499278844	0.5	1
PF4V1	0	0	0	0
PFAS	0.127696501057752	0.0863950587992641	1581.75	1489.75
PFDN1	0.291611870353275	0.0203124554222563	1018.25	1004
PFDN2	0.361270349531137	-0.0574101978782379	485.5	505.25
PFDN5	0.159676140362891	0.192513391114603	1564	1368.5
PFKFB1	0.150133546817304	0.62148837674627	4	2.25
PFKFB2	0.324678791032015	0.107453502882083	256.75	238.25
PFKFB3	0.465814400464656	0.455391411018147	2896.25	2112
PFKFB4	0.043034172277062	0.0435469204140952	730.5	708.75
PFKL	0.178342152888899	0.381945802164174	5088.25	3904.5
PFKM	0.297544875636568	0.3251410150199	954.25	761.5
PFKP	1	-0.227225170318788	2553.5	2989.25
PFN1	0.249897684325919	-0.0387627409844116	4800.25	4931
PFN2	0.0716018295549471	0.0414379541952688	1358.75	1320.25
PFN3	0	0	0	0
PFN4	0.0509330028271044	0.0715532610250341	14.5	13.75
PGA3	1	-0.321928094887362	0	0.25
PGA4	0.181558274537807	-0.321928094887362	0	0.25
PGA5	0.0816252403628961	-0.331205908475373	6.75	8.75
PGAM1	1	0.104279501872497	1418.75	1319.75
PGAM2	0.222643317704985	0.29218075149331	59	48
PGAM4	0	0	0	0
PGAM5	0.234166725856669	-0.818367141188999	758.75	1338.75
PGAP1	0.297219474107351	-0.24586596983741	911.25	1080.75
PGAP2	0.188722203393703	0.0729794453571055	277.75	264
PGAP3	0.722945380481783	-0.129965477359474	587.75	643.25
PGBD1	0.189004974447131	0.597416263479899	420.75	277.75
PGBD2	0.209140783897288	-1.90150635974891	128.75	483.75
PGBD4	0.150310944688297	-0.250226629533174	65	77.5
PGBD5	0.133531551875481	-0.314475791183663	105.75	131.75
PGC	0.341780391529051	0.115477217419936	2.25	2
PGD	0.222204290623492	-0.0668323185498368	3663.5	3837.25
PGF	0.685560624376387	0.719810873127139	521.5	316.25
PGGHG	1	-0.0320851553497404	5957.5	6091.5
PGGT1B	0.134426881060162	-0.524834348098062	356.25	513
PGK1	0.893512728722835	0.211673983915237	893	771
PGK2	0	0	0	0
PGLS	0.120950320667892	0.13699469044981	1770.75	1610.25
PGLYRP1	0.189635187144899	-0.81713594285019	4.25	8.25
PGLYRP2	0.210220708025826	0.321928094887362	0.25	0
PGLYRP3	0	0	0	0
PGLYRP4	0.235420718738277	-0.415037499278844	0.5	1
PGM1	0.683141060719875	0.204081181588393	677.5	588
PGM2	0.16639324892277	-0.616142674786599	533	817.5
PGM2L1	0.132045913497101	-0.16667780398344	468.5	526
PGM3	0.615699336688615	0.154976216885456	2387.25	2144
PGM5	0.0460725618672867	0.17567967616812	38.25	33.75
PGP	1	0.0481085241290271	1287.25	1245
PGPEP1	0.229804126257437	0.366109768908159	1325.25	1028
PGPEP1L	0.321928094887362	0.321928094887362	0.25	0
PGR	0.0967032557016244	-0.321928094887362	0	0.25
PGRMC1	0.198543468813056	-0.110122814222142	881.5	951.5
